Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1741160738,24,,Aggregated,149.300000,0.000000,9,11,13,14,18,23,29,38,96,150,150,2634,2,9,10.593291532363878,1.7093400238081813,147.8732210234739,7531.71602126044
1741160738,25,,Aggregated,149.300000,0.000000,9,11,13,14,18,23,29,38,96,150,150,2753,2,9,10.60044041021725,1.7093400238081813,147.8732210234739,7575.740646567381
1741160739,25,,Aggregated,159.200000,0.000000,9,11,13,14,18,23,29,38,96,150,150,2860,2,9,10.608424712003004,1.7093400238081813,147.8732210234739,7644.533566433566
1741160739,26,,Aggregated,159.200000,0.000000,9,11,13,14,18,23,29,38,96,150,150,2978,2,9,10.588279522015965,1.7093400238081813,147.8732210234739,7824.829415715245
1741160740,26,,Aggregated,167.700000,0.100000,9,11,13,14,18,23,29,38,88,150,150,3097,2,9,10.568785327892288,1.7093400238081813,147.8732210234739,7886.3722957701
1741160740,27,,Aggregated,167.700000,0.100000,9,11,13,14,18,23,29,38,88,150,150,3199,2,9,10.523852826979768,1.7093400238081813,147.8732210234739,7982.981869334167
1741160741,27,,Aggregated,178.200000,0.100000,9,11,13,14,18,23,29,38,88,150,150,3330,2,9,10.436990274636944,1.7093400238081813,147.8732210234739,8127.175675675676
1741160741,28,,Aggregated,178.200000,0.100000,8,11,13,14,18,23,29,37,88,150,150,3452,2,8,10.336625955593265,1.7093400238081813,147.8732210234739,8191.789976825029
1741160742,28,,Aggregated,186.800000,0.100000,8,11,13,14,18,22,29,37,88,150,150,3583,2,8,10.23735745425181,1.7093400238081813,147.8732210234739,8461.59252023444
1741160742,29,,Aggregated,186.800000,0.100000,8,11,12,14,18,22,28,35,88,150,150,3716,2,8,10.135428685837413,1.7093400238081813,147.8732210234739,8605.12459634015
1741160743,29,,Aggregated,196.500000,0.100000,8,11,12,14,18,22,28,35,88,150,150,3854,2,8,10.0572955372861,1.7093400238081813,147.8732210234739,8787.187337830825
1741160743,30,,Aggregated,196.500000,0.100000,8,10,12,13,17,22,28,35,88,150,150,3996,2,8,9.953910361772259,1.7093400238081813,147.8732210234739,8866.226226226227
1741160744,30,,Aggregated,206.500000,0.100000,8,10,12,13,17,22,28,34,81,150,150,4153,2,8,9.861278482278875,1.7093400238081813,147.8732210234739,9105.580544184926
1741160744,31,,Aggregated,206.500000,0.100000,8,10,12,13,17,22,28,34,81,150,150,4294,2,8,9.802282722853656,1.7093400238081813,147.8732210234739,9432.734047508151
1741160745,31,,Aggregated,218.700000,0.100000,8,10,12,13,17,22,28,34,81,150,150,4444,2,8,9.736747028810978,1.7093400238081813,147.8732210234739,9665.715346534653
1741160745,32,,Aggregated,218.700000,0.100000,8,10,12,13,17,22,28,34,81,150,150,4595,2,8,9.673132821080205,1.7093400238081813,147.8732210234739,9885.546463547334
1741160746,32,,Aggregated,231.400000,0.100000,8,10,12,13,17,22,28,33,81,150,150,4723,2,8,9.626300291536072,1.7093400238081813,147.8732210234739,10091.970993012916
1741160746,33,,Aggregated,231.400000,0.100000,8,10,12,13,17,22,28,33,81,150,150,4866,2,8,9.557484989731078,1.7093400238081813,147.8732210234739,10158.6956432388
1741160747,33,,Aggregated,243.900000,0.100000,7,10,12,13,17,21,28,33,77,150,150,5011,2,7,9.500703544413684,1.7093400238081813,147.8732210234739,10369.66952704051
1741160747,34,,Aggregated,243.900000,0.100000,7,9,11,13,17,21,28,33,77,150,150,5175,2,7,9.430503656037134,1.7093400238081813,147.8732210234739,10590.989565217391
1741160748,34,,Aggregated,251.700000,0.100000,7,9,11,13,17,21,28,32,77,150,150,5347,2,7,9.378479311916937,1.7093400238081813,147.8732210234739,10861.106975874322
1741160748,35,,Aggregated,251.700000,0.100000,7,9,11,13,17,21,27,32,77,150,150,5502,2,7,9.322817556537865,1.7093400238081813,147.8732210234739,10971.222101054162
1741160749,35,,Aggregated,258.900000,0.100000,7,9,11,12,17,21,27,32,77,150,150,5650,2,7,9.284612836493427,1.7093400238081813,147.8732210234739,11144.19628318584
1741160749,36,,Aggregated,258.900000,0.100000,7,9,11,12,17,21,27,32,77,150,150,5825,2,7,9.267909110747597,1.7093400238081813,147.8732210234739,11548.968755364807
1741160750,36,,Aggregated,269.300000,0.000000,7,9,11,12,17,21,28,32,77,150,150,5989,2,7,9.252429893645619,1.7093400238081813,147.8732210234739,11761.145600267157
1741160750,37,,Aggregated,269.300000,0.000000,7,9,11,12,17,21,28,32,67,150,150,6161,2,7,9.256192737346382,1.7093400238081813,147.8732210234739,12174.76156468106
1741160751,37,,Aggregated,277.600000,0.000000,7,9,11,12,17,21,28,32,67,150,150,6336,2,7,9.235723000460204,1.7093400238081813,147.8732210234739,12387.291508838383
1741160751,38,,Aggregated,277.600000,0.000000,7,9,11,12,17,21,28,33,77,150,150,6510,3,7,9.216778211521998,1.7093400238081813,147.8732210234739,12543.486175115208
1741160752,38,,Aggregated,287.900000,0.000000,7,9,11,12,17,21,28,34,77,150,150,6696,3,7,9.24580900684398,1.7093400238081813,147.8732210234739,12995.853494623656
1741160752,39,,Aggregated,287.900000,0.000000,7,9,11,12,17,22,28,35,77,150,150,6871,3,7,9.264698906517777,1.7093400238081813,147.8732210234739,13266.312618250618
1741160753,39,,Aggregated,298.500000,0.000000,7,9,11,12,17,22,28,35,67,150,150,7077,3,7,9.26150364002863,1.7093400238081813,147.8732210234739,13634.134944185389
1741160753,40,,Aggregated,298.500000,0.000000,7,9,11,12,17,22,28,34,67,150,150,7240,3,7,9.252837520231491,1.7093400238081813,147.8732210234739,13951.607872928176
1741160754,40,,Aggregated,309.700000,0.100000,7,9,11,12,17,22,28,34,67,150,150,7410,3,7,9.25292151637376,1.7093400238081813,147.8732210234739,14158.660863697705
1741160754,41,,Aggregated,309.700000,0.100000,7,9,11,12,17,22,29,35,67,150,150,7593,3,7,9.273868577805835,1.7093400238081813,147.8732210234739,14439.402871065455
1741160755,41,,Aggregated,318.800000,0.100000,7,9,11,12,17,22,29,35,67,150,150,7755,3,7,9.266644597569478,1.7093400238081813,147.8732210234739,14730.134364925854
1741160755,42,,Aggregated,318.800000,0.100000,7,9,11,12,17,22,29,37,77,150,150,7955,3,7,9.338727929006845,1.7093400238081813,147.8732210234739,15331.53739786298
1741160756,42,,Aggregated,325.000000,0.100000,7,9,11,12,17,22,29,37,80,150,150,8151,3,7,9.362242936226588,1.7093400238081813,147.8732210234739,15674.4654643602
1741160756,43,,Aggregated,325.000000,0.100000,7,9,11,12,17,22,29,37,80,150,150,8340,3,7,9.399178644969007,1.7093400238081813,147.8732210234739,16168.497482014389
